energy_kev,unfiltered_density_photons_cm2_kev,unfiltered_bin_photons_cm2,al_mu_mm_inv,al_transmission,filtered_bin_photons_cm2
83.5,2396143.7252605953,2396143.7252605953,0.052491439324666142,0.87701726680757564,2101459.4208061695
84.5,2319675.2806436252,2319675.2806436252,0.051978542304967866,0.87814253694394784,2037005.5358305571
85.5,2244089.135044924,2244089.135044924,0.05148531850421427,0.87922600679725504,1973061.5291026544
86.5,2169358.5875631738,2169358.5875631738,0.051010670873958552,0.88026993239724127,1909621.1372196099
87.5,2095516.0899466695,2095516.0899466695,0.05055357680699811,0.88127642277224438,1846728.9236098817
88.5,2022555.6253349721,2022555.6253349721,0.050113082290943765,0.88224745091822654,1784394.5447920987
89.5,1950464.9753224042,1950464.9753224042,0.049688296580204586,0.88318486385586947,1722621.1436857593
90.5,1879262.3913024408,1879262.3913024408,0.049278387335335586,0.88409039185855565,1661437.8239316212
91.5,1808881.8550952566,1808881.8550952566,0.048882576184210574,0.88496565692597906,1600798.3191958575
92.5,1739212.3641638879,1739212.3641638879,0.048500134664350526,0.88581218057087618,1540615.4967758423
93.5,1670285.6373190349,1670285.6373190349,0.048130380510039525,0.88663139097987076,1480927.6779498758
94.5,1602127.4788718529,1602127.4788718529,0.047772674251670512,0.88742462960358226,1421767.3845155751
95.5,1534690.9924429581,1534690.9924429581,0.047426416098134902,0.88819315722590708,1363102.0379440717
96.5,1467912.1653591092,1467912.1653591092,0.0470910430760672,0.88893815955766542,1304883.138666634
97.5,1401771.9737879343,1401771.9737879343,0.046766026402414507,0.88966075239556597,1247101.5088871913
98.5,1336187.5254862087,1336187.5254862087,0.046450869069168302,0.89036198638362929,1189690.5793729271
99.5,1271133.4977861794,1271133.4977861794,0.046145103621204164,0.89104285141076733,1132634.4163911396
100.5,1206644.2895862025,1206644.2895862025,0.045848332940507462,0.89170418519488548,1075969.763065526
101.5,1142665.4388549328,1142665.4388549328,0.045560139281071992,0.89234687542180746,1019653.9340146877
102.5,1079053.0413871016,1079053.0413871016,0.045280089430291035,0.89297184819896169,963563.98867215088
103.5,1015841.313513378,1015841.313513378,0.045007815911403591,0.89357988658486487,907735.36571750452
104.5,952962.24116718071,952962.24116718071,0.044742971989637725,0.89417173050000842,852111.89628562436
105.5,890382.71224385558,890382.71224385558,0.044485230304423043,0.89474807948824253,796668.22178972221
106.5,828097.358817845,828097.358817845,0.044234281603891951,0.89530959527902321,741403.51117483282
107.5,766020.55901574739,766020.55901574739,0.043989833573148486,0.89585690416639352,686244.80652765755
108.5,704110.90333112655,704110.90333112655,0.043751609748566386,0.89639059921918662,631158.39455375134
109.5,642339.77878571162,642339.77878571162,0.043519348511078068,0.8969112423356953,576121.76899232832
110.5,580723.32901765499,580723.32901765499,0.043292802152050953,0.89741936615491835,521152.36183839804
111.5,519244.74798265868,519244.74798265868,0.043071736005917877,0.89791547583546227,466237.89495991368
112.5,458032.37049902842,458032.37049902842,0.042855927644244139,0.89840005071224971,411496.30488417909
113.5,397192.06820390973,397192.06820390973,0.042645166126379593,0.89887354584032919,357025.44272610219
114.5,336709.47092789446,336709.47092789446,0.042439251302265987,0.89933639343431415,302815.08121946867
115.5,276602.57690853352,276602.57690853352,0.042237993163350931,0.89978900421127195,248883.95723880114
116.5,217005.99605098818,217005.99605098818,0.042041211237906141,0.90023176864424603,195355.69163138737
117.5,157813.10130890814,157813.10130890814,0.041848734027361452,0.90066505813300657,142136.74606453782
118.5,99331.347745118852,99331.347745118852,0.041660398480549324,0.90108922609809761,89506.407266930153
119.5,37413.786966888052,37413.786966888052,0.041476049503015644,0.90150460900375717,33728.701390934279
